protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,initial_trials,relearn_trials,weight_erasure,residual_performance,savings,criticality_distance,trace_auc_proxy,health,energy_cost,firing_rate_hz,active_channel_fraction,branching_ratio,path_erasure,residual_trace_correlation,job_elapsed_s
b2_epoch_pause_correlated_1.5s_0.8uA,1,2.0,epoch_pause,correlated,1.5,0.8,160,148,16,24,-1.4539839688671474,0.75,-0.4999999999062501,0.03851339013275506,0.5283712860878252,0.09950371639383812,0.037888,18.9375,1.0,1.1196747865403196,-1.4540403775603012,0.9999196922190545,9.959529209008906
b2_epoch_pause_correlated_1.5s_0.8uA,3,2.0,epoch_pause,correlated,1.5,0.8,160,132,48,40,-0.5531200357587513,0.625,0.16666666668402774,0.030065715141140665,0.5220899928942935,0.10011129396431978,0.033791999999999996,18.708333333333332,1.0,1.092609711000635,-0.5530099585186998,0.9999893473370773,15.594872250017943
b2_epoch_pause_correlated_1.5s_0.8uA,4,2.0,epoch_pause,correlated,1.5,0.8,160,127,48,120,-0.5538771967752436,0.625,-1.4999999999479168,0.0710853717455038,0.5520881353270893,0.10118748584043451,0.032512,18.3125,1.0,1.0997112756847416,-0.5540067895027045,0.9999891227107404,25.429539999982808
b2_epoch_pause_correlated_1.5s_1.6uA,1,2.0,epoch_pause,correlated,1.5,1.6,160,148,16,24,-1.4539839688671474,0.75,-0.4999999999062501,0.03851339013275506,0.5283712860878252,0.09950371639383812,0.075776,18.9375,1.0,1.1196747865403196,-1.4540403775603012,0.9999196922190545,9.904754332994344
b2_epoch_pause_correlated_1.5s_1.6uA,3,2.0,epoch_pause,correlated,1.5,1.6,160,132,48,40,-0.5531200357587513,0.625,0.16666666668402774,0.030065715141140665,0.5220899928942935,0.10011129396431978,0.06758399999999999,18.708333333333332,1.0,1.092609711000635,-0.5530099585186998,0.9999893473370773,15.7237493339926
b2_epoch_pause_correlated_1.5s_1.6uA,4,2.0,epoch_pause,correlated,1.5,1.6,160,127,48,120,-0.5538771967752436,0.625,-1.4999999999479168,0.0710853717455038,0.5520881353270893,0.10118748584043451,0.065024,18.3125,1.0,1.0997112756847416,-0.5540067895027045,0.9999891227107404,26.810692041995935
b2_epoch_pause_correlated_1.5s_2.6uA,1,2.0,epoch_pause,correlated,1.5,2.6,160,148,16,24,-1.4539839688671474,0.75,-0.4999999999062501,0.03851339013275506,0.5283712860878252,0.09950371639383812,0.123136,18.9375,1.0,1.1196747865403196,-1.4540403775603012,0.9999196922190545,9.895549624983687
b2_epoch_pause_correlated_1.5s_2.6uA,3,2.0,epoch_pause,correlated,1.5,2.6,160,132,48,40,-0.5531200357587513,0.625,0.16666666668402774,0.030065715141140665,0.5220899928942935,0.10011129396431978,0.10982399999999999,18.708333333333332,1.0,1.092609711000635,-0.5530099585186998,0.9999893473370773,16.6622300829913
b2_epoch_pause_correlated_1.5s_2.6uA,4,2.0,epoch_pause,correlated,1.5,2.6,160,127,48,120,-0.5538771967752436,0.625,-1.4999999999479168,0.0710853717455038,0.5520881353270893,0.10118748584043451,0.105664,18.3125,1.0,1.0997112756847416,-0.5540067895027045,0.9999891227107404,27.15309479201096
b2_epoch_pause_correlated_3s_0.8uA,1,2.0,epoch_pause,correlated,3.0,0.8,160,301,16,16,-3.1772387082042206,0.25,6.250000517127319e-11,0.05425183531361418,0.5399018331295011,0.10058848492177272,0.077056,18.53125,1.0,1.0900890449246883,-3.1770903763161655,0.9999012892645086,11.60069195899996
b2_epoch_pause_correlated_3s_0.8uA,3,2.0,epoch_pause,correlated,3.0,0.8,160,277,48,96,-1.2101533788339753,0.75,-0.9999999999583336,0.039521741816360124,0.5284972248114121,0.09890706842918369,0.070912,19.166666666666668,1.0,1.1048119034480641,-1.209915293686611,0.9999836529884484,26.767102332989452
b2_epoch_pause_correlated_3s_0.8uA,4,2.0,epoch_pause,correlated,3.0,0.8,160,250,48,64,-1.210006800945031,0.375,-0.3333333333055557,0.03950037577733568,0.5291209903253203,0.09928550623830959,0.064,19.020833333333332,1.0,1.0868397390697764,-1.21011318946463,0.9999828555476095,22.8189373750065
b2_epoch_pause_correlated_3s_1.6uA,1,2.0,epoch_pause,correlated,3.0,1.6,160,301,16,16,-3.1772387082042206,0.25,6.250000517127319e-11,0.05425183531361418,0.5399018331295011,0.10058848492177272,0.154112,18.53125,1.0,1.0900890449246883,-3.1770903763161655,0.9999012892645086,12.909170166007243
b2_epoch_pause_correlated_3s_1.6uA,3,2.0,epoch_pause,correlated,3.0,1.6,160,277,48,96,-1.2101533788339753,0.75,-0.9999999999583336,0.039521741816360124,0.5284972248114121,0.09890706842918369,0.141824,19.166666666666668,1.0,1.1048119034480641,-1.209915293686611,0.9999836529884484,26.851450415997533
b2_epoch_pause_correlated_3s_1.6uA,4,2.0,epoch_pause,correlated,3.0,1.6,160,250,48,64,-1.210006800945031,0.375,-0.3333333333055557,0.03950037577733568,0.5291209903253203,0.09928550623830959,0.128,19.020833333333332,1.0,1.0868397390697764,-1.21011318946463,0.9999828555476095,22.951804749987787
b2_epoch_pause_correlated_3s_2.6uA,1,2.0,epoch_pause,correlated,3.0,2.6,160,301,16,16,-3.1772387082042206,0.25,6.250000517127319e-11,0.05425183531361418,0.5399018331295011,0.10058848492177272,0.250432,18.53125,1.0,1.0900890449246883,-3.1770903763161655,0.9999012892645086,12.426143250020687
b2_epoch_pause_correlated_3s_2.6uA,3,2.0,epoch_pause,correlated,3.0,2.6,160,277,48,96,-1.2101533788339753,0.75,-0.9999999999583336,0.039521741816360124,0.5284972248114121,0.09890706842918369,0.23046399999999997,19.166666666666668,1.0,1.1048119034480641,-1.209915293686611,0.9999836529884484,25.436686166998697
b2_epoch_pause_correlated_3s_2.6uA,4,2.0,epoch_pause,correlated,3.0,2.6,160,250,48,64,-1.210006800945031,0.375,-0.3333333333055557,0.03950037577733568,0.5291209903253203,0.09928550623830959,0.208,19.020833333333332,1.0,1.0868397390697764,-1.21011318946463,0.9999828555476095,21.42193125002086
b2_epoch_pause_independent_0.75s_0.8uA,1,2.0,epoch_pause,independent,0.75,0.8,160,23,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.005888,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,12.385260082985042
b2_epoch_pause_independent_0.75s_0.8uA,3,2.0,epoch_pause,independent,0.75,0.8,160,13,48,96,-0.283005806629385,0.375,-0.9999999999583336,0.04815058963879497,0.5355013260517754,0.10191473021495288,0.003328,18.052083333333332,1.0,1.1232067857628873,-0.28295140989844847,0.9999929873148385,21.0447068749927
b2_epoch_pause_independent_0.75s_0.8uA,4,2.0,epoch_pause,independent,0.75,0.8,160,20,48,80,-0.2836788897920244,0.625,-0.6666666666319445,0.04200739149777501,0.5308772614158093,0.09917693813473065,0.0051199999999999996,19.0625,1.0,1.1047642461903167,-0.28366131155995067,0.9999939286387561,19.164065999997547
b2_epoch_pause_independent_0.75s_1.6uA,1,2.0,epoch_pause,independent,0.75,1.6,160,23,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.011776,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,12.457264625001699
b2_epoch_pause_independent_0.75s_1.6uA,3,2.0,epoch_pause,independent,0.75,1.6,160,13,48,96,-0.283005806629385,0.375,-0.9999999999583336,0.04815058963879497,0.5355013260517754,0.10191473021495288,0.006656,18.052083333333332,1.0,1.1232067857628873,-0.28295140989844847,0.9999929873148385,20.9299670420005
b2_epoch_pause_independent_0.75s_1.6uA,4,2.0,epoch_pause,independent,0.75,1.6,160,20,48,80,-0.2836788897920244,0.625,-0.6666666666319445,0.04200739149777501,0.5308772614158093,0.09917693813473065,0.010239999999999999,19.0625,1.0,1.1047642461903167,-0.28366131155995067,0.9999939286387561,19.22065787500469
b2_epoch_pause_independent_0.75s_2.6uA,1,2.0,epoch_pause,independent,0.75,2.6,160,23,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.019136,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,12.486790583003312
b2_epoch_pause_independent_0.75s_2.6uA,3,2.0,epoch_pause,independent,0.75,2.6,160,13,48,96,-0.283005806629385,0.375,-0.9999999999583336,0.04815058963879497,0.5355013260517754,0.10191473021495288,0.010816,18.052083333333332,1.0,1.1232067857628873,-0.28295140989844847,0.9999929873148385,20.869075416005217
b2_epoch_pause_independent_0.75s_2.6uA,4,2.0,epoch_pause,independent,0.75,2.6,160,20,48,80,-0.2836788897920244,0.625,-0.6666666666319445,0.04200739149777501,0.5308772614158093,0.09917693813473065,0.01664,19.0625,1.0,1.1047642461903167,-0.28366131155995067,0.9999939286387561,18.938886750023812
b2_epoch_pause_independent_1.5s_0.8uA,1,2.0,epoch_pause,independent,1.5,0.8,160,44,16,24,-1.4539839688671474,0.75,-0.4999999999062501,0.03851339013275506,0.5283712860878252,0.09950371639383812,0.011264,18.9375,1.0,1.1196747865403196,-1.4540403775603012,0.9999196922190545,9.68955549999373
b2_epoch_pause_independent_1.5s_0.8uA,3,2.0,epoch_pause,independent,1.5,0.8,160,30,48,40,-0.5531200357587513,0.625,0.16666666668402774,0.030065715141140665,0.5220899928942935,0.10011129396431978,0.007679999999999999,18.708333333333332,1.0,1.092609711000635,-0.5530099585186998,0.9999893473370773,15.288363750005374
b2_epoch_pause_independent_1.5s_0.8uA,4,2.0,epoch_pause,independent,1.5,0.8,160,39,48,120,-0.5538771967752436,0.625,-1.4999999999479168,0.0710853717455038,0.5520881353270893,0.10118748584043451,0.009984,18.3125,1.0,1.0997112756847416,-0.5540067895027045,0.9999891227107404,24.77455116598867
b2_epoch_pause_independent_1.5s_1.6uA,1,2.0,epoch_pause,independent,1.5,1.6,160,44,16,24,-1.4539839688671474,0.75,-0.4999999999062501,0.03851339013275506,0.5283712860878252,0.09950371639383812,0.022528,18.9375,1.0,1.1196747865403196,-1.4540403775603012,0.9999196922190545,9.87957412499236
b2_epoch_pause_independent_1.5s_1.6uA,3,2.0,epoch_pause,independent,1.5,1.6,160,30,48,40,-0.5531200357587513,0.625,0.16666666668402774,0.030065715141140665,0.5220899928942935,0.10011129396431978,0.015359999999999999,18.708333333333332,1.0,1.092609711000635,-0.5530099585186998,0.9999893473370773,15.175870417006081
b2_epoch_pause_independent_1.5s_1.6uA,4,2.0,epoch_pause,independent,1.5,1.6,160,39,48,120,-0.5538771967752436,0.625,-1.4999999999479168,0.0710853717455038,0.5520881353270893,0.10118748584043451,0.019968,18.3125,1.0,1.0997112756847416,-0.5540067895027045,0.9999891227107404,25.91116499999771
b2_epoch_pause_independent_1.5s_2.6uA,1,2.0,epoch_pause,independent,1.5,2.6,160,44,16,24,-1.4539839688671474,0.75,-0.4999999999062501,0.03851339013275506,0.5283712860878252,0.09950371639383812,0.036607999999999995,18.9375,1.0,1.1196747865403196,-1.4540403775603012,0.9999196922190545,9.586963415989885
b2_epoch_pause_independent_1.5s_2.6uA,3,2.0,epoch_pause,independent,1.5,2.6,160,30,48,40,-0.5531200357587513,0.625,0.16666666668402774,0.030065715141140665,0.5220899928942935,0.10011129396431978,0.02496,18.708333333333332,1.0,1.092609711000635,-0.5530099585186998,0.9999893473370773,15.929974291997496
b2_epoch_pause_independent_1.5s_2.6uA,4,2.0,epoch_pause,independent,1.5,2.6,160,39,48,120,-0.5538771967752436,0.625,-1.4999999999479168,0.0710853717455038,0.5520881353270893,0.10118748584043451,0.032448,18.3125,1.0,1.0997112756847416,-0.5540067895027045,0.9999891227107404,26.569894000014756
b2_epoch_pause_independent_3s_0.8uA,1,2.0,epoch_pause,independent,3.0,0.8,160,77,16,16,-3.1772387082042206,0.25,6.250000517127319e-11,0.05425183531361418,0.5399018331295011,0.10058848492177272,0.019712,18.53125,1.0,1.0900890449246883,-3.1770903763161655,0.9999012892645086,11.264239708980313
b2_epoch_pause_independent_3s_0.8uA,3,2.0,epoch_pause,independent,3.0,0.8,160,68,48,96,-1.2101533788339753,0.75,-0.9999999999583336,0.039521741816360124,0.5284972248114121,0.09890706842918369,0.017408,19.166666666666668,1.0,1.1048119034480641,-1.209915293686611,0.9999836529884484,25.982744916982483
b2_epoch_pause_independent_3s_0.8uA,4,2.0,epoch_pause,independent,3.0,0.8,160,75,48,64,-1.210006800945031,0.375,-0.3333333333055557,0.03950037577733568,0.5291209903253203,0.09928550623830959,0.0192,19.020833333333332,1.0,1.0868397390697764,-1.21011318946463,0.9999828555476095,22.34546104198671
b2_epoch_pause_independent_3s_1.6uA,1,2.0,epoch_pause,independent,3.0,1.6,160,77,16,16,-3.1772387082042206,0.25,6.250000517127319e-11,0.05425183531361418,0.5399018331295011,0.10058848492177272,0.039424,18.53125,1.0,1.0900890449246883,-3.1770903763161655,0.9999012892645086,12.630685457988875
b2_epoch_pause_independent_3s_1.6uA,3,2.0,epoch_pause,independent,3.0,1.6,160,68,48,96,-1.2101533788339753,0.75,-0.9999999999583336,0.039521741816360124,0.5284972248114121,0.09890706842918369,0.034816,19.166666666666668,1.0,1.1048119034480641,-1.209915293686611,0.9999836529884484,27.701417000003858
b2_epoch_pause_independent_3s_1.6uA,4,2.0,epoch_pause,independent,3.0,1.6,160,75,48,64,-1.210006800945031,0.375,-0.3333333333055557,0.03950037577733568,0.5291209903253203,0.09928550623830959,0.0384,19.020833333333332,1.0,1.0868397390697764,-1.21011318946463,0.9999828555476095,22.872982291009976
b2_epoch_pause_independent_3s_2.6uA,1,2.0,epoch_pause,independent,3.0,2.6,160,77,16,16,-3.1772387082042206,0.25,6.250000517127319e-11,0.05425183531361418,0.5399018331295011,0.10058848492177272,0.064064,18.53125,1.0,1.0900890449246883,-3.1770903763161655,0.9999012892645086,12.472265249991324
b2_epoch_pause_independent_3s_2.6uA,3,2.0,epoch_pause,independent,3.0,2.6,160,68,48,96,-1.2101533788339753,0.75,-0.9999999999583336,0.039521741816360124,0.5284972248114121,0.09890706842918369,0.056575999999999994,19.166666666666668,1.0,1.1048119034480641,-1.209915293686611,0.9999836529884484,27.26103579098708
b2_epoch_pause_independent_3s_2.6uA,4,2.0,epoch_pause,independent,3.0,2.6,160,75,48,64,-1.210006800945031,0.375,-0.3333333333055557,0.03950037577733568,0.5291209903253203,0.09928550623830959,0.0624,19.020833333333332,1.0,1.0868397390697764,-1.21011318946463,0.9999828555476095,23.126567916973727
b2_epoch_pause_phase_shifted_0.75s_0.8uA,1,2.0,epoch_pause,phase_shifted,0.75,0.8,160,92,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.023552,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,12.480774415977066
b2_epoch_pause_phase_shifted_0.75s_0.8uA,3,2.0,epoch_pause,phase_shifted,0.75,0.8,160,48,48,96,-0.283005806629385,0.375,-0.9999999999583336,0.04815058963879497,0.5355013260517754,0.10191473021495288,0.012288,18.052083333333332,1.0,1.1232067857628873,-0.28295140989844847,0.9999929873148385,21.800862500007497
b2_epoch_pause_phase_shifted_0.75s_0.8uA,4,2.0,epoch_pause,phase_shifted,0.75,0.8,160,88,48,80,-0.2836788897920244,0.625,-0.6666666666319445,0.04200739149777501,0.5308772614158093,0.09917693813473065,0.022528,19.0625,1.0,1.1047642461903167,-0.28366131155995067,0.9999939286387561,19.81754104202264
b2_epoch_pause_phase_shifted_0.75s_1.6uA,1,2.0,epoch_pause,phase_shifted,0.75,1.6,160,92,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.047104,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,12.588070416997653
b2_epoch_pause_phase_shifted_0.75s_1.6uA,3,2.0,epoch_pause,phase_shifted,0.75,1.6,160,48,48,96,-0.283005806629385,0.375,-0.9999999999583336,0.04815058963879497,0.5355013260517754,0.10191473021495288,0.024576,18.052083333333332,1.0,1.1232067857628873,-0.28295140989844847,0.9999929873148385,22.33070437499555
