task,task_label,component,variance_explained,cumulative_variance_explained,singular_value
overlapping_shared_target_association,Shared target,39,0.001172350660412665,0.9952142920080069,0.1530148248845628
overlapping_shared_target_association,Shared target,40,0.0010005190062518246,0.9962148110142587,0.14135703102031957
overlapping_shared_target_association,Shared target,41,0.0008031046845304907,0.9970179156987892,0.12664580911883877
overlapping_shared_target_association,Shared target,42,0.0007166736536285771,0.9977345893524178,0.11963698589833302
overlapping_shared_target_association,Shared target,43,0.0005422225368929872,0.9982768118893107,0.1040623252034468
overlapping_shared_target_association,Shared target,44,0.0005038036886457591,0.9987806155779565,0.10030796386785451
overlapping_shared_target_association,Shared target,45,0.0003561751867604126,0.999136790764717,0.08434057814693262
overlapping_shared_target_association,Shared target,46,0.000290165132412601,0.9994269558971296,0.07612500875516562
overlapping_shared_target_association,Shared target,47,0.0002539563933621455,0.9996809122904917,0.07121710553384238
overlapping_shared_target_association,Shared target,48,0.00019521664285866114,0.9998761289333503,0.06244003867046744
overlapping_shared_target_association,Shared target,49,0.0001238710666496079,0.9999999999999999,0.049738156218790824
overlapping_shared_target_association,Shared target,50,2.5790826948007107e-32,0.9999999999999999,7.176907967094872e-16
pattern_discrimination,Pattern,1,0.14040049689018352,0.14040049689018352,1.7270577655670907
pattern_discrimination,Pattern,2,0.11205390442757494,0.2524544013177585,1.5428938157918157
pattern_discrimination,Pattern,3,0.07871578062232906,0.3311701819400875,1.2931635201708314
pattern_discrimination,Pattern,4,0.07391920060835462,0.4050893825484421,1.2531445573600914
pattern_discrimination,Pattern,5,0.07084265187088216,0.4759320344193243,1.2267892065885337
pattern_discrimination,Pattern,6,0.05301863943342131,0.5289506738527456,1.061296741339674
pattern_discrimination,Pattern,7,0.04691832543239467,0.5758689992851403,0.9983752198025941
pattern_discrimination,Pattern,8,0.04234227447777926,0.6182112737629196,0.9484395001353569
pattern_discrimination,Pattern,9,0.035306066625436665,0.6535173403883563,0.8660584624376767
pattern_discrimination,Pattern,10,0.032065735405437085,0.6855830757937934,0.8253594796441793
pattern_discrimination,Pattern,11,0.03179618883494178,0.7173792646287351,0.821883147043888
pattern_discrimination,Pattern,12,0.026853099496574964,0.7442323641253101,0.7553004647500365
pattern_discrimination,Pattern,13,0.025190478234994953,0.7694228423603051,0.7315444969881113
pattern_discrimination,Pattern,14,0.022072427242962944,0.7914952696032681,0.6847745140507294
pattern_discrimination,Pattern,15,0.020229093545581323,0.8117243631488494,0.6555574432695709
pattern_discrimination,Pattern,16,0.018407965536552787,0.8301323286854021,0.6253532881102308
