task,task_label,seed_i,seed_j,cosine,angle_deg
conditioned_electrode_association,Association,4,18,0.7750292984024462,39.19231105650579
conditioned_electrode_association,Association,4,19,0.8002255462161696,36.848354167918835
conditioned_electrode_association,Association,4,20,0.7377181603395702,42.462601103021726
conditioned_electrode_association,Association,4,21,0.7275104611833823,43.321908764594156
conditioned_electrode_association,Association,4,22,0.7610234448728922,40.44549421489242
conditioned_electrode_association,Association,4,23,0.754416315984719,41.02560514366712
conditioned_electrode_association,Association,4,24,0.8023357711499761,36.64626545554201
conditioned_electrode_association,Association,4,25,0.7922798574706553,37.60091893548843
conditioned_electrode_association,Association,4,26,0.7976329619084976,37.09534233666977
conditioned_electrode_association,Association,4,27,0.803503500984732,36.534023404538935
conditioned_electrode_association,Association,4,28,0.7959707468409852,37.25295849383509
conditioned_electrode_association,Association,4,29,0.8298453929067775,33.91714060771915
conditioned_electrode_association,Association,4,30,0.7735161832665979,39.329302354829665
conditioned_electrode_association,Association,4,31,0.822080626579518,34.70638190565854
conditioned_electrode_association,Association,4,32,0.7567105925686031,40.8249371178126
conditioned_electrode_association,Association,4,33,0.7951811016515495,37.32763550160561
conditioned_electrode_association,Association,4,34,0.8120741353746515,35.70092210843036
conditioned_electrode_association,Association,4,35,0.7693325740102772,39.70600764202156
conditioned_electrode_association,Association,4,36,0.7937539978080701,37.46227448279183
conditioned_electrode_association,Association,4,37,0.7359399623727303,42.61329852043236
conditioned_electrode_association,Association,4,38,0.8168961884874825,35.22471351685354
conditioned_electrode_association,Association,4,39,0.6960189977320133,45.89152612401802
conditioned_electrode_association,Association,4,40,0.794299558561918,37.410852833658936
conditioned_electrode_association,Association,4,41,0.7712818742006853,39.53086000679459
conditioned_electrode_association,Association,4,42,0.7945298303458163,37.38913052750166
conditioned_electrode_association,Association,4,43,0.7976153429953061,37.09701601872877
conditioned_electrode_association,Association,4,44,0.8020435838245239,36.674304248186345
conditioned_electrode_association,Association,4,45,0.8147912239039143,35.43327618854719
conditioned_electrode_association,Association,4,46,0.8155303273645574,35.360166748962136
conditioned_electrode_association,Association,4,47,0.7859078474326152,38.19527882096841
conditioned_electrode_association,Association,4,48,0.7885639089446479,37.94849163631653
conditioned_electrode_association,Association,4,49,0.7850847515282287,38.271482578796956
conditioned_electrode_association,Association,4,50,0.790972393419298,37.7235237606653
conditioned_electrode_association,Association,5,6,0.9411781564781292,19.749636939974113
conditioned_electrode_association,Association,5,7,0.9258880477894607,22.197351763703413
conditioned_electrode_association,Association,5,8,0.9708355470774734,13.871573693406065
conditioned_electrode_association,Association,5,9,0.8043247967646492,36.45490247404974
conditioned_electrode_association,Association,5,10,0.8400471943637801,32.85489643539919
conditioned_electrode_association,Association,5,11,0.9044497132948427,25.250729625927878
conditioned_electrode_association,Association,5,12,0.9546398506181802,17.323288255650468
conditioned_electrode_association,Association,5,13,0.802712302596162,36.61010563400762
conditioned_electrode_association,Association,5,14,0.9627655322479066,15.684369320875614
conditioned_electrode_association,Association,5,15,0.9502159735448799,18.15520084126948
conditioned_electrode_association,Association,5,16,0.9130621031913759,24.06799809091196
conditioned_electrode_association,Association,5,17,0.9146808274515409,23.83955908848652
conditioned_electrode_association,Association,5,18,0.9195117832149389,23.14518798143183
conditioned_electrode_association,Association,5,19,0.9328628782195815,21.11442386989745
conditioned_electrode_association,Association,5,20,0.8202942035147291,34.8857444961602
conditioned_electrode_association,Association,5,21,0.8350284069022859,33.381203769932746
conditioned_electrode_association,Association,5,22,0.8676460826973723,29.813759276415063
conditioned_electrode_association,Association,5,23,0.8991917831042019,25.947966741345684
conditioned_electrode_association,Association,5,24,0.908689600491193,24.675112465635674
conditioned_electrode_association,Association,5,25,0.9458400906104429,18.943336137587334
conditioned_electrode_association,Association,5,26,0.9391470988805457,20.09118740341394
conditioned_electrode_association,Association,5,27,0.9448644698468974,19.11478032413428
conditioned_electrode_association,Association,5,28,0.9457412221285626,18.960778102607136
conditioned_electrode_association,Association,5,29,0.9326611430737778,21.146487136710807
conditioned_electrode_association,Association,5,30,0.9338009597044524,20.964712895377243
conditioned_electrode_association,Association,5,31,0.9634159222799341,15.545928953799539
conditioned_electrode_association,Association,5,32,0.8522509901784145,31.542649887704325
conditioned_electrode_association,Association,5,33,0.8567489575575411,31.046507474140224
conditioned_electrode_association,Association,5,34,0.9094896699182362,24.56507730861204
conditioned_electrode_association,Association,5,35,0.9238148403040288,22.509683811968248
conditioned_electrode_association,Association,5,36,0.918405375921108,23.305939025729725
conditioned_electrode_association,Association,5,37,0.8495538704106302,31.83682101921521
conditioned_electrode_association,Association,5,38,0.9644318833807749,15.32723425971376
conditioned_electrode_association,Association,5,39,0.8278166281568032,34.124898148105096
conditioned_electrode_association,Association,5,40,0.9448230375770046,19.122028382096218
conditioned_electrode_association,Association,5,41,0.9141837396453439,23.909928061332636
conditioned_electrode_association,Association,5,42,0.9283560966256845,21.820006452958093
conditioned_electrode_association,Association,5,43,0.9145568040853732,23.85713443621958
conditioned_electrode_association,Association,5,44,0.9487632221901185,18.420462260324786
conditioned_electrode_association,Association,5,45,0.9667190775422997,14.823378632055597
conditioned_electrode_association,Association,5,46,0.9503936422850788,18.122502524753088
conditioned_electrode_association,Association,5,47,0.9269157397128651,22.040971698276444
conditioned_electrode_association,Association,5,48,0.9237441388967567,22.520262629606453
conditioned_electrode_association,Association,5,49,0.887580364390885,27.429246146983218
conditioned_electrode_association,Association,5,50,0.9155659053098233,23.713778653274623
conditioned_electrode_association,Association,6,7,0.9277533569361818,21.91273053468262
conditioned_electrode_association,Association,6,8,0.9468841095534466,18.75820121024536
conditioned_electrode_association,Association,6,9,0.7530716843671486,41.14283812693516
conditioned_electrode_association,Association,6,10,0.8888983755323075,27.264857966468192
conditioned_electrode_association,Association,6,11,0.8979136349447097,26.114835240041426
conditioned_electrode_association,Association,6,12,0.9025615786790255,25.503154753754476
conditioned_electrode_association,Association,6,13,0.827419861557569,34.16539949012724
conditioned_electrode_association,Association,6,14,0.9151218539631691,23.776962145623575
conditioned_electrode_association,Association,6,15,0.9300435462901927,21.55839593051402
conditioned_electrode_association,Association,6,16,0.8884563273541457,27.3200939119602
conditioned_electrode_association,Association,6,17,0.8935350141675701,26.679127375456584
conditioned_electrode_association,Association,6,18,0.8701084638151166,29.52875386026776
conditioned_electrode_association,Association,6,19,0.9535002412797151,17.541244237041866
conditioned_electrode_association,Association,6,20,0.8175713641685852,35.15758821852303
conditioned_electrode_association,Association,6,21,0.8136354804024777,35.547336133735776
conditioned_electrode_association,Association,6,22,0.8514628910051911,31.628860255699518
conditioned_electrode_association,Association,6,23,0.8644461467794927,30.180477493649796
conditioned_electrode_association,Association,6,24,0.9218766526792853,22.79800372525048
conditioned_electrode_association,Association,6,25,0.9115517171189234,24.279324139564967
conditioned_electrode_association,Association,6,26,0.8975571819527408,26.161195363281625
conditioned_electrode_association,Association,6,27,0.9367313231366439,20.490323197515796
conditioned_electrode_association,Association,6,28,0.9016574304567039,25.623208402851315
conditioned_electrode_association,Association,6,29,0.9244008244871362,22.42182281379599
conditioned_electrode_association,Association,6,30,0.9005720362397234,25.766638984729752
conditioned_electrode_association,Association,6,31,0.9473221525325738,18.679996878350703
conditioned_electrode_association,Association,6,32,0.8213660108225652,34.77822862581162
conditioned_electrode_association,Association,6,33,0.8614636603643515,30.51867806178034
conditioned_electrode_association,Association,6,34,0.9241614160779087,22.457758489578776
conditioned_electrode_association,Association,6,35,0.9168575697271204,23.529080681889596
conditioned_electrode_association,Association,6,36,0.87768980472561,28.63507062218731
conditioned_electrode_association,Association,6,37,0.824343742398895,34.477986826847754
conditioned_electrode_association,Association,6,38,0.9479334177649211,18.57033625940247
conditioned_electrode_association,Association,6,39,0.8165463764198827,35.259447716471776
conditioned_electrode_association,Association,6,40,0.9355378081037442,20.684794025106918
conditioned_electrode_association,Association,6,41,0.8455989254570148,32.26383732575987
conditioned_electrode_association,Association,6,42,0.9482401002758801,18.51508160211274
conditioned_electrode_association,Association,6,43,0.8523550118664109,31.531255140752346
conditioned_electrode_association,Association,6,44,0.899521832879071,25.904714687562137
conditioned_electrode_association,Association,6,45,0.9610171391878561,16.05075676460064
conditioned_electrode_association,Association,6,46,0.9274519096723215,21.958964811401675
conditioned_electrode_association,Association,6,47,0.8673915451564951,29.843079341346613
conditioned_electrode_association,Association,6,48,0.8814431121075307,28.183061846004478
conditioned_electrode_association,Association,6,49,0.860706458965112,30.60400316767268
conditioned_electrode_association,Association,6,50,0.8640441204598692,30.22626510840065
conditioned_electrode_association,Association,7,8,0.9594473807525512,16.37290600266066
conditioned_electrode_association,Association,7,9,0.7403715229778312,42.23692675155514
conditioned_electrode_association,Association,7,10,0.9494636921195294,18.293025528887906
conditioned_electrode_association,Association,7,11,0.8219993395212026,34.714560974651455
conditioned_electrode_association,Association,7,12,0.9017899863015694,25.605640357339738
conditioned_electrode_association,Association,7,13,0.8156003971004425,35.35322888265184
conditioned_electrode_association,Association,7,14,0.9291601292751405,21.695729265735274
conditioned_electrode_association,Association,7,15,0.9150456959034615,23.787782694368392
conditioned_electrode_association,Association,7,16,0.9136538274063697,23.984729703506115
conditioned_electrode_association,Association,7,17,0.8265887455895443,34.25010216398877
conditioned_electrode_association,Association,7,18,0.8666252078247954,29.93119594903129
conditioned_electrode_association,Association,7,19,0.9369131806324138,20.460536181772223
conditioned_electrode_association,Association,7,20,0.7944372811194953,37.3978622997088
conditioned_electrode_association,Association,7,21,0.8020912742316083,36.66972905421555
conditioned_electrode_association,Association,7,22,0.8963837240729704,26.31327836006122
conditioned_electrode_association,Association,7,23,0.8601408187987187,30.667602305226108
conditioned_electrode_association,Association,7,24,0.9348546180303873,20.79532982563811
conditioned_electrode_association,Association,7,25,0.8750955082621,28.94371898617625
conditioned_electrode_association,Association,7,26,0.8930503397544013,26.74091009283831
conditioned_electrode_association,Association,7,27,0.928095864556731,21.860085835499525
conditioned_electrode_association,Association,7,28,0.8411343660189139,32.73989956704663
conditioned_electrode_association,Association,7,29,0.9558557400541372,17.087773311897895
conditioned_electrode_association,Association,7,30,0.8325557473230397,33.637822825162324
conditioned_electrode_association,Association,7,31,0.9113348506078803,24.309525307907347
conditioned_electrode_association,Association,7,32,0.8277694682643554,34.1297143711238
conditioned_electrode_association,Association,7,33,0.8994257076499532,25.917318550876868
conditioned_electrode_association,Association,7,34,0.9324739095392058,21.176204103987224
conditioned_electrode_association,Association,7,35,0.8599101021972375,30.69350933028912
conditioned_electrode_association,Association,7,36,0.9179508359540058,23.371676934924086
conditioned_electrode_association,Association,7,37,0.8338979035055097,33.49874582263488
conditioned_electrode_association,Association,7,38,0.926960442053744,22.03414558463206
conditioned_electrode_association,Association,7,39,0.7731017059895591,39.36675771747337
conditioned_electrode_association,Association,7,40,0.9540690005348517,17.432796241280535
conditioned_electrode_association,Association,7,41,0.8244836451874306,34.46382425818419
conditioned_electrode_association,Association,7,42,0.9543574487815403,17.377545887492502
conditioned_electrode_association,Association,7,43,0.8841438266070222,27.853656231974064
conditioned_electrode_association,Association,7,44,0.9287314004460826,21.7620807756014
conditioned_electrode_association,Association,7,45,0.9321014681152915,21.235198573481984
conditioned_electrode_association,Association,7,46,0.9717987874083622,13.639469396468227
conditioned_electrode_association,Association,7,47,0.9065253031409422,24.970494316229164
conditioned_electrode_association,Association,7,48,0.9140354007206319,23.93088954470584
conditioned_electrode_association,Association,7,49,0.9433646575550848,19.375491043227672
conditioned_electrode_association,Association,7,50,0.9093975348092275,24.577772370237337
conditioned_electrode_association,Association,8,9,0.796542216161187,37.19883453222166
conditioned_electrode_association,Association,8,10,0.8824669996087451,28.05859676187091
conditioned_electrode_association,Association,8,11,0.8721717582695926,29.28799895248622
conditioned_electrode_association,Association,8,12,0.9475981170067619,18.630566104155484
conditioned_electrode_association,Association,8,13,0.8017497439043717,36.70248305648315
conditioned_electrode_association,Association,8,14,0.9759768340071129,12.584212214076175
conditioned_electrode_association,Association,8,15,0.9599135512279477,16.277885176306402
conditioned_electrode_association,Association,8,16,0.9327130182810176,21.138246656890548
conditioned_electrode_association,Association,8,17,0.8869010929789296,27.513613935156435
conditioned_electrode_association,Association,8,18,0.9191365860083465,23.199818668810266
conditioned_electrode_association,Association,8,19,0.9414398204676244,19.70522152483979
conditioned_electrode_association,Association,8,20,0.7994722590699801,36.92026368266026
conditioned_electrode_association,Association,8,21,0.837171600483056,33.15735815267582
conditioned_electrode_association,Association,8,22,0.8787863040374714,28.503699186434734
conditioned_electrode_association,Association,8,23,0.8940057001105124,26.619000643406288
conditioned_electrode_association,Association,8,24,0.9217457440659834,22.817352935943017
conditioned_electrode_association,Association,8,25,0.9185407656635162,23.286324399588167
conditioned_electrode_association,Association,8,26,0.9442997068074456,19.21335198280781
conditioned_electrode_association,Association,8,27,0.9410984375958051,19.763149548893253
conditioned_electrode_association,Association,8,28,0.9194778948982414,23.15012730294186
conditioned_electrode_association,Association,8,29,0.9530941696974793,17.618276142746854
conditioned_electrode_association,Association,8,30,0.9004660808295716,25.78060073052336
conditioned_electrode_association,Association,8,31,0.9618153209166137,15.884513929474489
conditioned_electrode_association,Association,8,32,0.8606200046914741,30.61373158851081
conditioned_electrode_association,Association,8,33,0.886862847170289,27.51835709977704
conditioned_electrode_association,Association,8,34,0.9246376579589988,22.386219814400484
conditioned_electrode_association,Association,8,35,0.9003473801882577,25.79623355463585
conditioned_electrode_association,Association,8,36,0.9501741488875199,18.16289001727702
conditioned_electrode_association,Association,8,37,0.8549284378910813,31.248170189688935
conditioned_electrode_association,Association,8,38,0.977387394327772,12.207724689173046
conditioned_electrode_association,Association,8,39,0.8151089371748236,35.40186522683712
