probe,condition,control_mode,protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,initial_trials,initial_response_probability,initial_reached_criterion,weight_erasure,path_erasure,residual_trace_correlation,post_behavior,trained_delta_norm,post_delta_norm,post_minus_trained_norm,baseline_weight_norm,reset_window_neuron_spikes,post_readout_neuron_spikes,homeostasis_rate,homeostasis_interval_ms,consolidation_s,consolidation_spikes,consolidation_weight_change_norm
consolidation_delay,rest_1s,reset,high_burden_3s,3,-2.0,static,shared,3.0,2.6,160,1539,48,0.875,True,-0.997700480183336,-0.9977832941216704,0.9999898771770903,0.5,103.61103631315196,206.98381699707443,103.37339045038976,198.90535604574396,3630,1811,0.012,100.0,1.0,1197,27.310247654368137
consolidation_delay,rest_1s,no_reset,high_burden_3s,3,-2.0,static,shared,3.0,2.6,160,0,48,0.875,True,-0.997700480183336,-0.9977832941216704,0.9999898771770903,0.5,103.61103631315196,206.98381699707443,103.37339045038976,198.90535604574396,3630,1811,0.012,100.0,1.0,1197,27.310247654368137
consolidation_delay,rest_1s,reset,low_burden_0.75s,4,2.0,epoch_pause,independent,0.75,0.8,160,20,48,0.875,True,-0.23379956855696848,-0.2337520224346028,0.999996633097401,0.625,104.29357194629374,128.67736407183617,24.384319042645185,197.98112228231966,838,1817,0.012,100.0,1.0,1150,27.535611431624467
consolidation_delay,rest_1s,no_reset,low_burden_0.75s,4,2.0,epoch_pause,independent,0.75,0.8,160,0,48,0.875,True,-0.23379956855696848,-0.2337520224346028,0.999996633097401,0.625,104.29357194629374,128.67736407183617,24.384319042645185,197.98112228231966,838,1817,0.012,100.0,1.0,1150,27.535611431624467
consolidation_delay,rest_1s,reset,mid_burden_1.5s,4,0.0,static,shared,1.5,0.8,160,431,48,0.875,True,-0.4564561531028135,-0.4563605405333466,0.9999938472803264,0.625,104.29357194629374,151.89901459170696,47.606024853767366,197.98112228231966,1746,1911,0.012,100.0,1.0,1150,27.535611431624467
consolidation_delay,rest_1s,no_reset,mid_burden_1.5s,4,0.0,static,shared,1.5,0.8,160,0,48,0.875,True,-0.4564561531028135,-0.4563605405333466,0.9999938472803264,0.625,104.29357194629374,151.89901459170696,47.606024853767366,197.98112228231966,1746,1911,0.012,100.0,1.0,1150,27.535611431624467
consolidation_delay,rest_1s,reset,high_burden_3s,4,-2.0,static,shared,3.0,2.6,160,1439,48,0.875,True,-0.9969542943436285,-0.9968643235619579,0.9999895830786197,0.375,104.29357194629374,208.26949637258443,103.97654321936336,197.98112228231966,3657,1807,0.012,100.0,1.0,1150,27.535611431624467
consolidation_delay,rest_1s,no_reset,high_burden_3s,4,-2.0,static,shared,3.0,2.6,160,0,48,0.875,True,-0.9969542943436285,-0.9968643235619579,0.9999895830786197,0.375,104.29357194629374,208.26949637258443,103.97654321936336,197.98112228231966,3657,1807,0.012,100.0,1.0,1150,27.535611431624467
consolidation_delay,rest_10s,reset,low_burden_0.75s,1,2.0,epoch_pause,independent,0.75,0.8,160,23,16,0.875,True,-0.06748413099750272,-0.07764468569776528,0.9934943520414045,0.375,357.5851603873427,381.7164841947526,32.51621155077056,197.84471483464534,868,1754,0.012,100.0,10.0,12002,335.55311106454883
consolidation_delay,rest_10s,no_reset,low_burden_0.75s,1,2.0,epoch_pause,independent,0.75,0.8,160,0,16,0.875,True,-0.06748413099750272,-0.07764468569776528,0.9934943520414045,0.375,357.5851603873427,381.7164841947526,32.51621155077056,197.84471483464534,868,1754,0.012,100.0,10.0,12002,335.55311106454883
